season,wkday,date,hr,holiday,temp,windspd,hum,adjtemp,condition,casual,member,total
1,6,2017-01-01,0,1,0.4069,0.4375,0.69,0.3512,1,0,19,19
1,6,2017-01-01,1,1,0.4033,0.4375,0.7,0.3475,1,1,13,14
1,6,2017-01-01,2,1,0.3978,0.4,0.67,0.3459,1,0,10,10
1,6,2017-01-01,3,1,0.396,0.35,0.69,0.35,1,0,15,15
1,6,2017-01-01,4,1,0.396,0.3375,0.69,0.3515,1,2,16,18
1,6,2017-01-01,5,1,0.396,0.225,0.69,0.3686,1,0,13,13
1,6,2017-01-01,6,1,0.3906,0.2,0.7,0.3681,1,0,15,15
1,6,2017-01-01,7,1,0.3689,0.1875,0.7,0.3499,1,2,8,10
1,6,2017-01-01,8,1,0.3635,0.2375,0.7,0.3347,1,0,5,5
1,6,2017-01-01,9,1,0.3653,0.2875,0.68,0.328,1,0,8,8
1,6,2017-01-01,10,1,0.3779,0.3,0.66,0.3387,1,0,1,1
1,6,2017-01-01,11,1,0.3996,0.2375,0.62,0.3699,1,0,5,5
1,6,2017-01-01,12,1,0.4123,0.2625,0.59,0.3782,1,0,7,7
1,6,2017-01-01,13,1,0.4195,0.25,0.55,0.3872,1,0,5,5
1,6,2017-01-01,14,1,0.4195,0.2125,0.57,0.3936,1,2,5,7
1,6,2017-01-01,15,1,0.4286,0.225,0.54,0.4001,1,2,14,16
1,6,2017-01-01,16,1,0.4195,0.2125,0.57,0.3936,1,4,20,24
1,6,2017-01-01,17,1,0.4087,0.1,0.55,0.411,1,9,25,34
1,6,2017-01-01,18,1,0.4105,0.1875,0.57,0.3897,1,8,34,42
1,6,2017-01-01,19,1,0.3996,0.1,0.6,0.4028,1,11,32,43
1,6,2017-01-01,20,1,0.3942,0.1,0.64,0.3978,1,16,32,48
1,6,2017-01-01,21,1,0.3797,0.075,0.67,0.395,1,5,37,42
1,6,2017-01-01,22,1,0.387,0.125,0.74,0.383,1,8,41,49
1,6,2017-01-01,23,1,0.3852,0.025,0.72,0.4349,1,7,30,37
