,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
424 Wellington St. W,0.00547945205479452,0.003105022831050228,0.004931506849315068,0.006027397260273973,0.005844748858447489,0.0007305936073059362,-0.001643835616438356,-0.0010958904109589042,0.0,-0.0018264840182648401,-0.003287671232876712,-0.005844748858447489,0.011506849315068506,0.027214611872146077,0.010958904109589055,0.0020091324200913244,-0.0014611872146118722,0.0016438356164383558,0.004018264840182648,0.008036529680365303,-0.015890410958904106,-0.018995433789954323,-0.01881278538812784,0.0025570776255707762
Dovercourt Rd / Harrison St - SMART,0.001141552511415525,-0.0018264840182648401,-0.0018264840182648401,0.0,-0.00022831050228310502,-0.0006849315068493151,-0.00136986301369863,-0.006621004566210046,-0.04520547945205489,-0.02442922374429222,-0.0022831050228310505,-0.0034246575342465747,-0.0009132420091324201,-0.0036529680365296794,-0.0018264840182648401,-0.001141552511415525,0.006164383561643835,0.021461187214611842,0.013470319634703194,0.01484018264840182,0.010273972602739732,0.008219178082191783,0.0009132420091324201,0.004794520547945204
Bathurst Subway Station,-0.004764740917212624,-0.003097081596188206,-0.003930911256700415,-0.0032162001191185213,-0.0014294222751637877,-0.00047647409172126264,0.0015485407980941031,-0.004169148302561046,-0.053245979749851055,-0.0075044669446098925,0.00011911852293031551,-0.0016676593210244188,-0.01620011911852297,-0.0059559261465157816,0.0003573555687909468,0.005122096486003571,0.00011911852293031551,0.02001191185229309,0.00023823704586063116,0.0019058963668850497,0.0029779630732578903,0.004169148302561046,-0.0005955926146515782,-0.0015485407980941031
Church St / Dundas St E - SMART,-0.002557077625570776,0.0001826484018264841,-0.001095890410958904,-0.00036529680365296805,-0.003105022831050228,0.004931506849315068,-0.00036529680365296805,-0.0029223744292237444,0.02319634703196344,0.006210045662100458,0.00949771689497718,0.009863013698630149,0.0016438356164383554,0.0010958904109589042,-0.00018264840182648454,-0.005296803652968036,-0.009863013698630149,-0.004383561643835616,-0.00018264840182648394,-0.001278538812785388,-0.005296803652968036,-0.004018264840182647,-0.002374429223744292,0.0005479452054794521
Palmerston Ave / Vermont Ave,7.604267291953127e-20,0.003287671232876712,0.0005479452054794519,0.00273972602739726,0.0007305936073059361,-0.004748858447488584,-0.010958904109589055,-0.012420091324200922,-0.0489497716894976,-0.03287671232876706,-0.01497716894977169,-0.008401826484018273,-0.021735159817351576,-0.020456621004566192,-0.010593607305936087,0.0021917808219178076,0.005662100456621004,0.027579908675799042,0.01388127853881279,0.012968036529680373,0.011506849315068506,0.014794520547945207,0.016255707762557074,0.006940639269406396
Spadina Ave / Adelaide St W,-0.0032876712328767117,-0.0018264840182648401,-0.0038356164383561643,-0.002374429223744292,0.0009132420091324201,0.00273972602739726,0.005296803652968036,0.006575342465753427,0.10867579908675878,0.03616438356164376,0.00949771689497718,0.006392694063926942,-0.005844748858447489,-0.0003652968036529684,-0.0005479452054794519,-0.009315068493150695,-0.049315068493150566,-0.06301369863013682,-0.012420091324200922,0.0007305936073059365,0.0020091324200913244,0.004383561643835615,0.005114155251141552,-0.0010958904109589042
Dundas St W / Yonge St,-0.005296803652968036,-0.011324200913242023,0.010776255707762571,-0.0020091324200913236,0.02155251141552509,0.003105022831050228,0.006210045662100458,0.09168949771689493,0.1110502283105032,0.03799086757990859,0.030502283105022777,0.04913242009132408,0.011506849315068506,0.025570776255707726,0.006027397260273973,0.0012785388127853881,-0.03872146118721453,-0.06228310502283089,0.0016438356164383565,-0.020091324200913224,-0.01388127853881279,-0.041461187214611776,-0.028127853881278492,-0.01936073059360729
Rusholme Park Cres / College St,-0.0009132420091324197,0.0001826484018264841,0.0007305936073059361,0.001095890410958904,-0.00018264840182648402,-0.00018264840182648402,-0.01442922374429224,-0.01607305936073059,-0.03141552511415519,-0.02100456621004564,-0.020456621004566192,-0.007305936073059365,-0.0012785388127853881,-0.008219178082191789,-7.604267291953127e-20,0.0023744292237442917,0.015342465753424657,0.029771689497716844,0.020456621004566192,0.010593607305936087,0.011872146118721472,0.015159817351598173,0.009863013698630149,0.00547945205479452
Bay St / Albert St,-0.01387538665488289,-0.005832965090587712,-0.006009721608484309,-0.0034467520989836476,-0.0030048608042421545,0.006539991162174101,0.006098099867432608,0.05877154220061879,0.12107821475916761,0.03614670790985453,0.022182942996022966,0.02819266460450744,0.0585064074237739,0.04498453380468458,0.014317277949624382,-0.011842686699072017,-0.061864781263809156,-0.051878038002651686,-0.0194432169686257,-0.019531595227574004,-0.04410075121520162,-0.042068051259390705,-0.019885108263367198,-0.018029164825452925
Ulster St / Bathurst St,0.00398505603985056,0.0022415940224159406,0.008966376089663757,0.00448318804483188,0.00547945205479452,0.0014943960149439604,-0.008966376089663757,-0.03636363636363648,-0.07222914072229128,-0.039103362391033764,-0.011955168119551676,-0.023661270236612703,-0.03985056039850575,-0.028642590286425948,-0.012204234122042336,-0.009464508094645076,0.010709838107098375,0.0236612702366127,0.015442092154420913,0.015691158156911574,0.01793275217932751,0.01743462017434619,0.008219178082191777,0.007721046077210457
