,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
424 Wellington St. W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dovercourt Rd / Harrison St - SMART,0.002264492753623188,-0.003623188405797101,-0.003623188405797101,0.0,-0.00045289855072463763,-0.001358695652173913,-0.0027173913043478256,-0.013134057971014492,-0.08967391304347845,-0.0484601449275362,-0.004528985507246377,-0.006793478260869564,-0.0018115942028985505,-0.007246376811594201,-0.003623188405797101,-0.002264492753623188,0.012228260869565214,0.04257246376811588,0.02672101449275362,0.029438405797101438,0.020380434782608706,0.016304347826086963,0.0018115942028985505,0.009510869565217388
Bathurst Subway Station,-0.005434782608695649,-0.0021266540642722116,-0.00023629489603024575,-0.0011814744801512287,-0.0011814744801512287,-0.0011814744801512287,0.0030718336483931937,-0.009451795841209825,-0.10586011342155001,-0.015595463137996233,0.0004725897920604918,-0.0009451795841209827,-0.0061436672967863865,-0.005434782608695649,0.0028355387523629483,0.009451795841209825,0.0033081285444234386,0.04513232514177705,0.005434782608695649,0.004725897920604913,0.0037807183364839307,-0.008506616257088843,-0.00756143667296786,-0.0028355387523629483
Church St / Dundas St E - SMART,-0.005072463768115942,0.0003623188405797103,-0.002173913043478261,-0.0007246376811594203,-0.006159420289855072,0.009782608695652173,-0.0007246376811594203,-0.005797101449275362,0.04601449275362313,0.012318840579710147,0.01884057971014495,0.019565217391304374,0.00326086956521739,0.002173913043478261,-0.0003623188405797112,-0.010507246376811594,-0.019565217391304374,-0.008695652173913044,-0.00036231884057971,-0.0025362318840579704,-0.010507246376811594,-0.007971014492753621,-0.004710144927536231,0.0010869565217391304
Palmerston Ave / Vermont Ave,0.0007246376811594203,0.003985507246376811,0.00036231884057971015,0.0010869565217391304,-0.00036231884057971015,-0.009420289855072463,-0.02137681159420293,-0.02355072463768118,-0.09673913043478238,-0.059782608695652065,-0.023188405797101474,-0.005434782608695651,-0.006521739130434781,-0.003623188405797102,-0.0007246376811594207,0.009057971014492752,0.017753623188405815,0.05942028985507236,0.029347826086956522,0.022826086956521763,0.0076086956521739125,0.0025362318840579713,0.009782608695652171,0.010869565217391302
Spadina Ave / Adelaide St W,-0.006521739130434781,-0.003623188405797101,-0.0076086956521739125,-0.004710144927536232,0.0018115942028985505,0.005434782608695651,0.010507246376811594,0.01304347826086957,0.2155797101449291,0.07173913043478246,0.01884057971014495,0.012681159420289858,-0.011594202898550725,-0.0007246376811594211,-0.0010869565217391302,-0.018478260869565236,-0.09782608695652151,-0.12499999999999967,-0.02463768115942031,0.0014492753623188415,0.003985507246376812,0.008695652173913042,0.010144927536231883,-0.002173913043478261
Dundas St W / Yonge St,-0.010507246376811592,-0.022463768115942057,0.021376811594202925,-0.0039855072463768106,0.042753623188405754,0.006159420289855072,0.012318840579710147,0.1818840579710144,0.22028985507246557,0.07536231884057955,0.060507246376811485,0.0974637681159418,0.022826086956521763,0.05072463768115935,0.011956521739130435,0.0025362318840579713,-0.07681159420289839,-0.12355072463768084,0.003260869565217392,-0.03985507246376808,-0.02753623188405798,-0.08224637681159401,-0.05579710144927527,-0.03840579710144924
Rusholme Park Cres / College St,-0.00181159420289855,0.0003623188405797103,0.0014492753623188406,0.002173913043478261,-0.00036231884057971015,-0.00036231884057971015,-0.028623188405797105,-0.031884057971014484,-0.06231884057971003,-0.04166666666666662,-0.0405797101449275,-0.014492753623188415,-0.0025362318840579713,-0.01630434782608697,-1.5084551965015713e-19,0.00471014492753623,0.03043478260869565,0.05905797101449265,0.0405797101449275,0.02101449275362322,0.02355072463768118,0.030072463768115943,0.019565217391304374,0.010869565217391302
Bay St / Albert St,-0.0017531556802244037,0.002279102384291724,-0.0010518934081346423,0.0019284712482468438,-0.001402524544179523,0.01402524544179522,0.011746143057503499,0.11693548387096801,0.24123422159887473,0.06942496493688705,0.03576437587657781,0.011395511921458618,0.010343618513323976,0.018758765778401108,0.002279102384291724,-0.03436185133239829,-0.12692847124824683,-0.11728611500701289,-0.049964936886395646,-0.028927068723702643,-0.025070126227208958,-0.02051192145862551,-0.005610098176718089,-0.015427769985974744
Ulster St / Bathurst St,0.0034584980237154154,0.013339920948616597,0.008399209486166006,0.0004940711462450591,0.0024703557312252965,-0.0004940711462450593,-0.023715415019762834,-0.07164031620553382,-0.14328063241106695,-0.07658102766798446,-0.018774703557312245,-0.009881422924901183,-0.017292490118577065,-0.010375494071146242,-0.009387351778656124,-0.0034584980237154154,0.033102766798418955,0.05187747035573127,0.035573122529644244,0.033102766798418955,0.028162055335968363,0.014328063241106715,0.01630434782608695,0.00691699604743083
